nama,answer_text
Student 1,The lack of career -- based courses in US high schools
Student 2,the sun is out at night
Student 3,have to get confirmed at least twice
Student 4,nobody made room for him in the water .
Student 5,There are twelve countries in the World Wildlife Fund .
Student 6,it may make it difficult for customers to recover their data
Student 7,how Billy made blueberry juice with his uncle
Student 8,The snail 's teeth ca n't be worn out ..
Student 9,Eat the food your host family gives you .
Student 10,how to make a meaningful DIY card
Student 11,Because he enjoys playing with children .
Student 12,A person who posts text or photos in a blog .
Student 13,the voyage of the Beagle
Student 14,He pulled a plate to the floor .
Student 15,Learn to forgive others and remember to be thankful to others .
Student 16,give true information about goods
Student 17,its dishonesty in business
Student 18,Li Yun can sing very well .
Student 19,Most of them are willing to go to university .
Student 20,A supper runner -- Patti Wilson
Student 21,make an appearance at the starting day
Student 22,To give the readers brief introduction of solar ovens .
Student 23,Mark Twain 's
Student 24,admit we were wrong and try to make the wrong right
Student 25,He lets the ice cream warm up .
Student 26,he is confident in the tremor - resistant home
Student 27,Golf is bad for people 's health
Student 28,"After receiving the medical treatment , Jobs was in good health again ."
Student 29,the third woman was too fat
